epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,557.201,1.21052,0.76136,1.08292,0.63173,0.67734,0.66892,0.40091,1.26842,0.72811,1.07846,0.0007921,0.0007921,0.0007921
44,569.962,1.21548,0.75468,1.08644,0.633,0.66917,0.65884,0.38563,1.3097,0.75487,1.09649,0.00078715,0.00078715,0.00078715
45,582.428,1.23393,0.74829,1.0963,0.64063,0.67555,0.65733,0.39684,1.29642,0.77298,1.08597,0.0007822,0.0007822,0.0007822
46,594.839,1.20642,0.74233,1.08446,0.65917,0.63278,0.66612,0.39748,1.26088,0.7395,1.07615,0.00077725,0.00077725,0.00077725
47,607.186,1.20619,0.74144,1.08487,0.62798,0.712,0.69471,0.4212,1.27514,0.76277,1.0804,0.0007723,0.0007723,0.0007723
48,621.334,1.19689,0.73399,1.08113,0.7513,0.67704,0.70154,0.40888,1.28016,0.72003,1.08611,0.00076735,0.00076735,0.00076735
49,634.459,1.1948,0.72778,1.08233,0.63442,0.70821,0.68954,0.40845,1.31616,0.7636,1.09143,0.0007624,0.0007624,0.0007624
50,646.899,1.20108,0.72177,1.07348,0.72995,0.6434,0.66676,0.40344,1.26724,0.77496,1.07709,0.00075745,0.00075745,0.00075745
51,659.186,1.21015,0.75176,1.08502,0.61153,0.68973,0.66191,0.40735,1.25811,0.73495,1.08022,0.0007525,0.0007525,0.0007525
52,671.52,1.19033,0.72953,1.07968,0.67444,0.64488,0.65232,0.37986,1.30708,0.76419,1.08753,0.00074755,0.00074755,0.00074755
53,684.618,1.19476,0.7517,1.07461,0.63783,0.72438,0.6791,0.40259,1.33285,0.76037,1.09746,0.0007426,0.0007426,0.0007426
54,697.631,1.20371,0.73689,1.08287,0.61839,0.74336,0.695,0.41505,1.28966,0.7321,1.08785,0.00073765,0.00073765,0.00073765
55,710.201,1.18339,0.71937,1.07597,0.63775,0.72144,0.69053,0.42134,1.26564,0.72541,1.08152,0.0007327,0.0007327,0.0007327
56,722.57,1.19477,0.72503,1.07934,0.64037,0.70704,0.69607,0.41318,1.30482,0.7351,1.08929,0.00072775,0.00072775,0.00072775
57,735.258,1.203,0.71506,1.0762,0.69552,0.66891,0.68986,0.41927,1.24469,0.72156,1.07078,0.0007228,0.0007228,0.0007228
58,747.874,1.1824,0.70926,1.06801,0.71739,0.70492,0.72206,0.43016,1.26349,0.7047,1.08089,0.00071785,0.00071785,0.00071785
59,761.659,1.18424,0.70648,1.06682,0.68286,0.72553,0.7223,0.43301,1.25834,0.75386,1.07669,0.0007129,0.0007129,0.0007129
