Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
118,4.83,423,353.19,1.0002,0.5351,0.989
119,4.91,406,333.53,0.9783,0.5193,0.9928
120,4.83,431,353.26,0.9854,0.5239,0.9827
121,4.92,425,353.98,0.9734,0.5176,0.9839
122,4.82,455,353.22,0.9692,0.5076,0.9894
123,4.92,461,351.94,0.9634,0.5118,0.9869
124,4.83,443,354.6,0.9783,0.523,0.9989
125,4.92,436,349.7,0.9368,0.4827,0.9823
126,4.82,440,351.19,0.9423,0.5,0.9736
127,4.91,427,339.96,0.9587,0.5031,0.9861
128,4.82,430,347.68,0.9295,0.5097,0.9686
129,4.92,412,350.23,0.9382,0.5034,0.9719
130,4.85,435,361.93,0.9647,0.5103,0.9837
131,4.91,419,366.84,0.9677,0.516,0.9927
132,4.82,429,363.43,0.9693,0.4995,0.9744
133,4.81,425,360.21,0.9289,0.4932,0.9673
134,4.83,467,346.79,0.9335,0.49,0.9707
135,4.91,453,366.81,0.935,0.4959,0.9705
136,4.84,464,358.96,0.9332,0.4787,0.9672
137,4.92,429,345.04,0.9114,0.4721,0.9588
138,4.83,393,342.02,0.9034,0.4866,0.9619
139,4.88,393,342.38,0.9044,0.4702,0.9594
140,4.83,437,345.21,0.8989,0.4653,0.9572
141,4.88,452,358.81,0.9036,0.4774,0.9532
142,4.77,410,347.94,0.8735,0.4597,0.9471
143,4.91,428,346.26,0.9034,0.4777,0.9692
144,4.75,442,345.43,0.8726,0.4547,0.9499
145,4.92,434,354.68,0.9045,0.4771,0.9568
146,4.81,433,350.11,0.8969,0.4671,0.9583
147,4.91,395,343.4,0.8908,0.4573,0.9593
148,4.76,435,360.94,0.9079,0.4894,0.9677
149,4.92,433,345.91,0.8903,0.4908,0.9619
150,4.83,408,346.43,0.8826,0.4701,0.951
151,4.9,432,337.96,0.8783,0.4628,0.9496
152,4.82,402,351.32,0.8767,0.4677,0.9498
153,4.92,410,355.32,0.8625,0.4496,0.9393
154,4.82,409,347.3,0.8945,0.4724,0.9511
155,4.92,432,354.21,0.8851,0.4671,0.9503
156,4.81,407,341.09,0.8605,0.4454,0.9418
157,4.91,426,362.38,0.884,0.4686,0.9544
158,4.82,425,352.49,0.8363,0.4438,0.9385
159,4.93,412,347.28,0.8583,0.4457,0.9446
160,4.83,437,352.72,0.859,0.4685,0.949
161,4.92,436,351.83,0.8547,0.4504,0.9365
162,4.83,420,349.09,0.8332,0.4308,0.9331
163,4.91,401,348,0.8502,0.4346,0.9355
164,4.78,408,356.28,0.8395,0.445,0.9345
165,4.91,422,357.04,0.8313,0.4331,0.9353
166,4.84,427,348.72,0.8466,0.4521,0.9426
167,4.92,423,349.77,0.8356,0.4316,0.9323
168,4.73,429,365.43,0.8382,0.4375,0.9348
169,4.92,402,351.64,0.8371,0.4302,0.9331
170,4.84,405,340.72,0.8012,0.4125,0.9288
171,4.91,440,351.66,0.8163,0.4248,0.9286
172,4.83,465,350.98,0.7913,0.4113,0.924
173,4.92,415,352.7,0.8411,0.4532,0.9351
174,4.83,408,348.77,0.8224,0.4363,0.9273
175,4.88,425,349.7,0.8036,0.4151,0.9282
176,4.83,462,348.7,0.831,0.4307,0.9358
177,4.92,427,356.06,0.801,0.4285,0.9278
178,4.76,456,357.87,0.8172,0.4342,0.9267
179,4.91,431,349.85,0.7946,0.4225,0.9211
180,4.79,437,360.72,0.8265,0.4354,0.9319
