epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,499.505,1.20702,0.77163,1.0757,0.64556,0.66442,0.67545,0.39787,1.27398,0.76444,1.0865,0.00079705,0.00079705,0.00079705
43,511.083,1.223,0.79013,1.0868,0.62337,0.67739,0.66052,0.39179,1.29974,0.80928,1.09552,0.0007921,0.0007921,0.0007921
44,522.506,1.22606,0.79277,1.08934,0.60597,0.68787,0.65808,0.39351,1.31429,0.79264,1.0935,0.00078715,0.00078715,0.00078715
45,533.8,1.22716,0.77929,1.08972,0.61372,0.72136,0.68009,0.40244,1.30316,0.7568,1.0943,0.0007822,0.0007822,0.0007822
46,545.522,1.22003,0.77843,1.08784,0.61498,0.67995,0.65656,0.38651,1.28179,0.78512,1.08368,0.00077725,0.00077725,0.00077725
47,557.027,1.21741,0.77867,1.08905,0.63592,0.67245,0.67503,0.39732,1.30966,0.84547,1.09955,0.0007723,0.0007723,0.0007723
48,568.337,1.21641,0.76545,1.08724,0.5886,0.71188,0.67228,0.39753,1.29077,0.75034,1.08564,0.00076735,0.00076735,0.00076735
49,579.799,1.2194,0.76801,1.08754,0.60569,0.67202,0.64621,0.37093,1.38378,0.80515,1.11897,0.0007624,0.0007624,0.0007624
50,591.901,1.21283,0.76784,1.07468,0.66817,0.6916,0.674,0.40227,1.29086,0.7741,1.08712,0.00075745,0.00075745,0.00075745
51,603.438,1.23278,0.79123,1.09275,0.65169,0.66183,0.62011,0.36416,1.30249,0.78925,1.10364,0.0007525,0.0007525,0.0007525
52,614.946,1.21563,0.78356,1.08732,0.52394,0.78264,0.69083,0.40677,1.31144,0.79078,1.09568,0.00074755,0.00074755,0.00074755
53,627.86,1.22039,0.79089,1.08139,0.57331,0.73083,0.67496,0.40267,1.29924,0.75999,1.09336,0.0007426,0.0007426,0.0007426
54,639.484,1.21653,0.76517,1.08661,0.6134,0.73279,0.68637,0.39978,1.30938,0.7329,1.0954,0.00073765,0.00073765,0.00073765
55,651.142,1.2006,0.763,1.08118,0.62313,0.65905,0.66348,0.39384,1.28851,0.78123,1.08692,0.0007327,0.0007327,0.0007327
