Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
118,5.86,423,353.19,1.0965,0.6182,1.0236
119,5.8,406,333.51,1.0695,0.6073,1.0308
120,5.86,431,353.26,1.0747,0.604,1.0199
121,5.78,425,353.98,1.0623,0.597,1.0212
122,5.85,455,357.17,1.0612,0.5917,1.0273
123,5.78,461,351.94,1.0581,0.5799,1.0283
124,5.84,443,352.23,1.0584,0.5955,1.037
125,5.78,436,349.7,1.0302,0.5722,1.0214
126,5.85,440,351.19,1.0374,0.5794,1.012
127,5.79,427,339.96,1.0591,0.5861,1.0263
128,5.86,430,347.68,1.0324,0.584,1.0094
129,5.78,412,350.23,1.0377,0.5803,1.0116
130,5.86,435,362.36,1.0571,0.5898,1.0211
131,5.8,419,365.02,1.0598,0.5949,1.0309
132,5.86,429,363.43,1.0669,0.5783,1.0129
133,5.79,425,358.93,1.0286,0.5583,1.0075
134,5.85,467,346.79,1.0417,0.5685,1.0169
135,5.78,453,366.81,1.0261,0.5642,1.0055
136,5.91,464,358.96,1.0286,0.5546,1.0063
137,5.78,429,345.04,0.9985,0.543,0.991
138,5.86,393,342.24,1.0089,0.559,1.0019
139,5.79,393,343.11,1.013,0.5438,1.0042
140,5.85,397,341.13,1.0092,0.5525,0.9996
141,5.79,452,359.44,1.0094,0.5614,0.9936
142,5.88,410,347.94,0.9792,0.529,0.9883
143,5.78,413,342.62,1.0069,0.5444,1.0084
144,5.88,442,352.27,0.985,0.5334,0.9962
145,5.79,434,351.23,1.0069,0.5418,1.0002
146,5.86,433,356.43,1.0028,0.5411,1.0014
147,5.8,395,343.4,1.0055,0.5375,1.0045
148,5.9,435,361.51,1.0209,0.5652,1.0132
149,5.79,433,344.4,0.9966,0.5713,1.0018
150,5.85,408,345.21,0.9945,0.5524,0.9929
151,5.79,432,337.56,0.9934,0.5333,0.9946
152,5.86,402,349.16,0.9896,0.5412,0.9937
153,5.78,410,355.32,0.9817,0.5225,0.9825
154,5.85,392,342.4,1.0112,0.544,0.9963
155,5.78,432,354.21,0.9845,0.5443,0.9879
156,5.86,407,341.09,0.9757,0.5184,0.9854
157,5.79,426,362.38,0.992,0.5388,1.0004
158,5.86,425,352.49,0.9499,0.5175,0.9846
159,5.79,412,347.28,0.9731,0.5278,0.9892
160,5.86,437,352.72,0.9832,0.5363,0.9956
161,5.79,436,351.83,0.9674,0.524,0.9793
162,5.85,420,349.09,0.9473,0.5067,0.9747
163,5.77,401,348.0,0.9631,0.5092,0.9761
