epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,528.401,2.50095,1.5806,2.15227,0.67924,0.6749,0.66372,0.39385,2.67717,1.54657,2.17726,0.00079705,0.00079705,0.00079705
43,541.128,2.54275,1.63729,2.17835,0.61052,0.70057,0.66226,0.3968,2.64926,1.50823,2.16823,0.0007921,0.0007921,0.0007921
44,553.544,2.57033,1.64861,2.18932,0.66204,0.66769,0.65786,0.39911,2.67746,1.52689,2.17578,0.00078715,0.00078715,0.00078715
45,566.399,2.5747,1.6017,2.19428,0.58397,0.6511,0.63012,0.37345,2.6386,1.51767,2.15844,0.0007822,0.0007822,0.0007822
46,578.257,2.53411,1.58225,2.18175,0.56229,0.68546,0.64957,0.39033,2.62811,1.54752,2.15014,0.00077725,0.00077725,0.00077725
47,590.264,2.53906,1.6313,2.18484,0.54908,0.679,0.63286,0.37294,2.67883,1.70443,2.17776,0.0007723,0.0007723,0.0007723
48,602.333,2.53071,1.58534,2.17612,0.59389,0.70587,0.64778,0.38955,2.66394,1.5283,2.17933,0.00076735,0.00076735,0.00076735
49,614.438,2.52262,1.5739,2.17382,0.63148,0.65022,0.63832,0.37466,2.74903,1.59632,2.18955,0.0007624,0.0007624,0.0007624
50,626.692,2.54084,1.55975,2.15841,0.60743,0.71002,0.68671,0.40909,2.65724,1.53064,2.16871,0.00075745,0.00075745,0.00075745
51,639.471,2.5664,1.64913,2.18801,0.58386,0.6238,0.63884,0.39009,2.6234,1.52898,2.15229,0.0007525,0.0007525,0.0007525
52,651.54,2.5208,1.61437,2.1792,0.64225,0.65217,0.62863,0.36763,2.68837,1.67521,2.17912,0.00074755,0.00074755,0.00074755
53,663.541,2.51137,1.63398,2.15765,0.60531,0.73732,0.65575,0.38481,2.76938,1.57153,2.20269,0.0007426,0.0007426,0.0007426
54,675.538,2.52396,1.57505,2.17252,0.66666,0.63657,0.6851,0.40126,2.68038,1.49318,2.16617,0.00073765,0.00073765,0.00073765
55,687.369,2.49332,1.55691,2.16209,0.68166,0.65295,0.6897,0.40985,2.69999,1.4732,2.18297,0.0007327,0.0007327,0.0007327
56,700.13,2.51823,1.5807,2.1745,0.62791,0.67278,0.66284,0.38861,2.76891,1.50967,2.19259,0.00072775,0.00072775,0.00072775
57,712.381,2.52143,1.53905,2.16475,0.68654,0.68808,0.69815,0.42253,2.60239,1.47172,2.1402,0.0007228,0.0007228,0.0007228
58,725.041,2.49518,1.54448,2.14426,0.62156,0.69483,0.67505,0.41312,2.60175,1.47402,2.14484,0.00071785,0.00071785,0.00071785
59,736.908,2.49581,1.52859,2.13963,0.61663,0.6621,0.67665,0.41131,2.60753,1.5208,2.15081,0.0007129,0.0007129,0.0007129
60,748.769,2.46131,1.51033,2.13881,0.57036,0.68538,0.64903,0.39164,2.61392,1.56549,2.1505,0.00070795,0.00070795,0.00070795
61,760.684,2.50152,1.52053,2.16575,0.61109,0.65857,0.67074,0.40061,2.65668,1.50861,2.16232,0.000703,0.000703,0.000703
62,773.238,2.51931,1.53661,2.19084,0.63448,0.69019,0.678,0.40981,2.58868,1.51392,2.13745,0.00069805,0.00069805,0.00069805
63,785.497,2.4968,1.54597,2.1513,0.64248,0.7087,0.7063,0.42944,2.58113,1.5326,2.14349,0.0006931,0.0006931,0.0006931
64,799.159,2.45961,1.54607,2.13964,0.65596,0.63362,0.70054,0.43425,2.60935,1.48902,2.14602,0.00068815,0.00068815,0.00068815
65,812.714,2.40588,1.46426,2.12774,0.7015,0.68646,0.70754,0.42525,2.67815,1.52419,2.16322,0.0006832,0.0006832,0.0006832
66,825.348,2.4391,1.43915,2.1347,0.68726,0.64385,0.67387,0.40494,2.60918,1.60795,2.15119,0.00067825,0.00067825,0.00067825
67,837.443,2.44715,1.46318,2.13417,0.63847,0.709,0.67975,0.40824,2.62629,1.47154,2.15529,0.0006733,0.0006733,0.0006733
68,849.896,2.45756,1.45049,2.14453,0.66888,0.73171,0.72343,0.42832,2.6675,1.51669,2.1611,0.00066835,0.00066835,0.00066835
69,862.011,2.43662,1.46111,2.13249,0.61992,0.75059,0.69899,0.42964,2.62399,1.60696,2.14768,0.0006634,0.0006634,0.0006634
70,874.34,2.41964,1.42665,2.13458,0.61175,0.75493,0.7082,0.43196,2.64406,1.51422,2.15405,0.00065845,0.00065845,0.00065845
71,886.406,2.43976,1.49829,2.14228,0.67454,0.66298,0.69428,0.41437,2.70335,1.54155,2.17017,0.0006535,0.0006535,0.0006535
72,898.76,2.4382,1.47247,2.13732,0.64722,0.71243,0.69091,0.42071,2.63684,1.58366,2.14726,0.00064855,0.00064855,0.00064855
73,910.684,2.43775,1.44407,2.14237,0.63065,0.71853,0.70434,0.42356,2.85895,1.62189,2.22744,0.0006436,0.0006436,0.0006436
74,923.92,2.45756,1.42874,2.12495,0.74785,0.64352,0.69383,0.42186,2.6436,1.57888,2.16061,0.00063865,0.00063865,0.00063865
75,935.908,2.45952,1.46609,2.15221,0.63584,0.68434,0.68724,0.40961,2.71008,1.62538,2.19419,0.0006337,0.0006337,0.0006337
76,947.794,2.41642,1.43351,2.13558,0.66234,0.71671,0.72734,0.4252,2.85372,1.61011,2.20972,0.00062875,0.00062875,0.00062875
77,960.237,2.37659,1.39899,2.10884,0.60337,0.73032,0.68825,0.41223,2.61916,1.57169,2.15607,0.0006238,0.0006238,0.0006238
78,972.457,2.387,1.39447,2.11231,0.67372,0.69356,0.70193,0.42718,2.64129,1.5152,2.16644,0.00061885,0.00061885,0.00061885
79,985.436,2.39299,1.3995,2.11652,0.63917,0.72017,0.71699,0.42915,2.63283,1.50907,2.1627,0.0006139,0.0006139,0.0006139
80,998.226,2.40018,1.38853,2.12824,0.7178,0.66637,0.71606,0.42596,2.65458,1.53684,2.1598,0.00060895,0.00060895,0.00060895
81,1010.68,2.41811,1.38193,2.11126,0.61309,0.72216,0.70442,0.42598,2.6332,1.48087,2.14883,0.000604,0.000604,0.000604
82,1022.47,2.37275,1.37555,2.10458,0.69221,0.71775,0.72622,0.44865,2.60139,1.48441,2.14632,0.00059905,0.00059905,0.00059905
83,1036.28,2.34878,1.3535,2.09974,0.68942,0.74209,0.71569,0.43843,2.61687,1.52909,2.15994,0.0005941,0.0005941,0.0005941
84,1048.47,2.38113,1.38418,2.10108,0.7025,0.66149,0.72231,0.44131,2.61335,1.4362,2.14416,0.00058915,0.00058915,0.00058915
85,1060.95,2.41338,1.37549,2.12062,0.66139,0.72242,0.71995,0.42121,2.75597,1.49855,2.2026,0.0005842,0.0005842,0.0005842
86,1073.13,2.3281,1.33011,2.08208,0.62888,0.7144,0.69982,0.42902,2.58587,1.48669,2.14077,0.00057925,0.00057925,0.00057925
87,1085.02,2.34798,1.35144,2.09245,0.71656,0.66467,0.70503,0.43446,2.56928,1.4527,2.13922,0.0005743,0.0005743,0.0005743
88,1097.23,2.33991,1.34142,2.0858,0.66257,0.71509,0.71545,0.43048,2.63233,1.44347,2.15403,0.00056935,0.00056935,0.00056935
89,1109.07,2.30065,1.33378,2.06224,0.6893,0.67559,0.71164,0.43247,2.59917,1.54544,2.1422,0.0005644,0.0005644,0.0005644
90,1120.81,2.38177,1.33842,2.12308,0.70281,0.67798,0.68983,0.43275,2.59581,1.63945,2.14934,0.00055945,0.00055945,0.00055945
91,1132.07,2.35931,1.33648,2.10177,0.63697,0.75657,0.69873,0.42792,2.61582,1.59543,2.14409,0.0005545,0.0005545,0.0005545
92,1143.5,2.31793,1.32069,2.08112,0.66993,0.74691,0.71769,0.44015,2.59731,1.4874,2.1397,0.00054955,0.00054955,0.00054955
93,1155.32,2.3454,1.31978,2.09689,0.66408,0.72775,0.7176,0.43524,2.63772,1.53794,2.15549,0.0005446,0.0005446,0.0005446
94,1167.38,2.31728,1.28609,2.08428,0.6883,0.7152,0.72284,0.44015,2.61335,1.48316,2.14412,0.00053965,0.00053965,0.00053965
95,1179.48,2.27799,1.27557,2.07635,0.67601,0.71072,0.69715,0.41118,2.55804,1.60118,2.12685,0.0005347,0.0005347,0.0005347
96,1191.72,2.28392,1.27867,2.08225,0.68427,0.74767,0.7172,0.4415,2.60065,1.55718,2.14496,0.00052975,0.00052975,0.00052975
97,1203.74,2.29885,1.28569,2.07267,0.69176,0.76222,0.7355,0.44186,2.65335,1.46536,2.15536,0.0005248,0.0005248,0.0005248
98,1216.08,2.30531,1.28214,2.07709,0.74508,0.70066,0.73178,0.44641,2.63109,1.50623,2.14238,0.00051985,0.00051985,0.00051985
99,1228.24,2.31432,1.26564,2.07414,0.72478,0.68671,0.73733,0.46113,2.57175,1.51367,2.13322,0.0005149,0.0005149,0.0005149
100,1241.29,2.28053,1.26571,2.06732,0.73611,0.68855,0.72585,0.44598,2.64933,1.53533,2.1686,0.00050995,0.00050995,0.00050995
101,1253.27,2.29582,1.25984,2.07959,0.66597,0.72153,0.72053,0.43766,2.6363,1.60977,2.15619,0.000505,0.000505,0.000505
102,1265.62,2.26281,1.27275,2.05247,0.72893,0.68618,0.72109,0.4131,2.85754,1.49722,2.24048,0.00050005,0.00050005,0.00050005
103,1277.73,2.28528,1.28379,2.08052,0.72246,0.68166,0.72658,0.44542,2.64854,1.57431,2.15671,0.0004951,0.0004951,0.0004951
104,1289.98,2.30061,1.2487,2.08528,0.71558,0.72132,0.73026,0.43221,2.78123,1.60599,2.20202,0.00049015,0.00049015,0.00049015
105,1301.96,2.23531,1.24615,2.05931,0.71214,0.72426,0.73901,0.44926,2.64391,1.4965,2.15322,0.0004852,0.0004852,0.0004852
106,1313.96,2.24233,1.23159,2.05308,0.69506,0.74764,0.7589,0.4577,2.62722,1.50685,2.15139,0.00048025,0.00048025,0.00048025
107,1325.87,2.22779,1.20234,2.06354,0.6879,0.72991,0.733,0.45223,2.63948,1.49743,2.15249,0.0004753,0.0004753,0.0004753
108,1338.16,2.25785,1.22703,2.06164,0.74417,0.68684,0.74062,0.45478,2.62144,1.56396,2.14836,0.00047035,0.00047035,0.00047035
109,1350.11,2.24757,1.25622,2.04569,0.71623,0.6959,0.7073,0.43832,2.58955,1.52055,2.14344,0.0004654,0.0004654,0.0004654
110,1362.33,2.26424,1.24258,2.0849,0.71522,0.63183,0.70549,0.44191,2.61791,1.60603,2.1613,0.00046045,0.00046045,0.00046045
111,1374.75,2.26212,1.22562,2.05996,0.70274,0.75703,0.74913,0.45578,2.6144,1.47295,2.1546,0.0004555,0.0004555,0.0004555
112,1386.66,2.2154,1.19632,2.05044,0.70172,0.7054,0.73877,0.45633,2.58489,1.46519,2.14222,0.00045055,0.00045055,0.00045055
113,1398.94,2.21394,1.21275,2.05112,0.69293,0.73089,0.76805,0.46361,2.67786,1.51034,2.17852,0.0004456,0.0004456,0.0004456
114,1412.04,2.24429,1.23987,2.05522,0.64506,0.7378,0.73231,0.44903,2.62031,1.55146,2.15628,0.00044065,0.00044065,0.00044065
115,1424.15,2.20688,1.17705,2.05365,0.70396,0.71086,0.74972,0.46167,2.6087,1.56363,2.15623,0.0004357,0.0004357,0.0004357
116,1436.11,2.21545,1.1966,2.03875,0.6622,0.75784,0.76828,0.46723,2.61175,1.53065,2.1468,0.00043075,0.00043075,0.00043075
117,1449.5,2.22351,1.19995,2.04959,0.70274,0.73937,0.74971,0.46902,2.5627,1.47988,2.133,0.0004258,0.0004258,0.0004258
118,1461.46,2.20767,1.17848,2.03861,0.71676,0.71001,0.75251,0.45806,2.58952,1.50849,2.14351,0.00042085,0.00042085,0.00042085
119,1474.08,2.12496,1.13759,2.02294,0.6802,0.76192,0.7397,0.45806,2.61727,1.53287,2.16225,0.0004159,0.0004159,0.0004159
120,1486.16,2.18747,1.16453,2.02062,0.71053,0.7004,0.72733,0.45603,2.54196,1.49503,2.13148,0.00041095,0.00041095,0.00041095
121,1498.73,2.14632,1.13752,2.0157,0.70822,0.73518,0.7531,0.47358,2.55486,1.44519,2.12322,0.000406,0.000406,0.000406
