Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
94,6.08,470,353.02,2.3238,1.2653,2.0854
95,6.19,391,345.74,2.2729,1.27,2.0813
96,6.06,401,338.53,2.2903,1.2632,2.0846
97,6.21,427,358.15,2.2462,1.2788,2.0578
98,6.08,400,345.3,2.2936,1.27,2.0709
99,6.19,426,349.74,2.3123,1.283,2.0658
100,6.05,431,348.11,2.2699,1.2646,2.0639
101,6.2,414,344.6,2.2608,1.2399,2.0685
102,6.06,417,354.74,2.2405,1.2201,2.038
103,6.18,437,360.57,2.2825,1.2927,2.065
104,6.09,467,346.7,2.2783,1.2457,2.076
105,6.23,427,352.23,2.2448,1.2247,2.0667
106,6.1,455,354.36,2.2416,1.2248,2.0439
107,6.2,392,345.36,2.2456,1.2059,2.0775
108,6.1,422,349.32,2.2642,1.2417,2.0637
109,6.17,438,365.28,2.2494,1.2478,2.0581
110,6.07,418,354.0,2.2625,1.2463,2.0772
111,6.18,446,354.81,2.2662,1.2376,2.0651
112,6.08,443,344.32,2.2429,1.2005,2.0596
113,6.19,425,348.72,2.2061,1.2095,2.0481
114,6.07,406,359.68,2.2492,1.2411,2.0506
115,6.18,440,351.0,2.1865,1.166,2.0409
116,6.09,420,357.94,2.241,1.2158,2.0495
117,6.21,417,356.77,2.2339,1.218,2.0594
118,6.09,423,353.19,2.2319,1.1995,2.0384
119,6.18,406,333.51,2.1626,1.1832,2.0392
120,6.09,431,353.26,2.2095,1.1904,2.0249
121,6.21,425,353.98,2.1773,1.1688,2.0278
122,6.08,455,357.17,2.16,1.1433,2.0325
123,6.19,461,351.94,2.1563,1.1259,2.0389
124,6.06,443,352.23,2.1674,1.1657,2.0573
125,6.21,436,349.7,2.1057,1.0989,2.0276
126,6.07,411,343.63,2.1233,1.1318,2.0109
127,6.2,427,339.96,2.1389,1.1151,2.0299
128,6.06,430,347.68,2.1097,1.129,2.004
129,6.21,412,350.23,2.1031,1.1243,1.9995
130,6.09,435,362.36,2.1686,1.1425,2.0374
131,6.18,419,365.02,2.1568,1.1652,2.0515
132,6.08,429,363.43,2.2017,1.1235,2.0179
133,6.24,425,360.21,2.096,1.0856,2.0003
134,6.08,467,349.05,2.0913,1.1171,2.0048
135,6.21,453,364.27,2.0931,1.0859,1.9951
136,6.09,464,358.96,2.0722,1.0659,1.9878
137,6.19,429,345.04,2.0459,1.0247,1.9707
138,6.09,393,342.02,2.047,1.0668,1.9864
139,6.22,393,342.38,2.0431,1.033,1.9778
140,6.09,437,342.91,2.0372,1.0394,1.9728
141,6.22,452,358.81,2.0456,1.0623,1.9713
142,6.05,410,347.94,1.9661,1.0055,1.9479
143,6.17,428,346.26,2.0336,1.0312,1.9966
144,6.05,442,345.43,1.9619,1.0269,1.9568
145,6.21,434,354.68,2.0394,1.0586,1.9746
146,6.06,433,350.11,2.0139,1.0377,1.9734
147,6.17,395,344.54,2.0274,1.0107,1.9861
148,6.15,435,360.58,2.0747,1.0894,2.0093
149,6.21,433,343.11,2.025,1.0713,1.9871
150,6.07,408,346.43,2.0023,1.0307,1.9637
151,6.18,432,337.96,2.0176,1.0341,1.9735
152,6.06,402,349.38,1.9887,1.0335,1.9645
153,6.2,410,353.12,1.9735,0.9781,1.9404
154,6.08,409,347.3,2.0391,1.0329,1.9652
155,6.19,432,354.21,2.0116,1.0385,1.9564
156,6.05,407,341.09,1.9466,0.9746,1.9428
157,6.18,426,362.38,1.99,1.0276,1.9725
158,6.09,425,352.49,1.9144,0.9657,1.9454
159,6.21,412,347.28,1.9628,0.996,1.9585
160,6.08,437,352.72,1.9748,1.0176,1.9647
161,6.21,436,351.83,1.9221,0.9714,1.9284
162,6.07,420,349.09,1.8835,0.9399,1.9199
163,6.2,401,348.0,1.9159,0.9552,1.9232
164,6.1,408,356.28,1.888,0.961,1.9228
165,6.19,422,357.04,1.9179,0.9593,1.9363
166,6.1,411,345.24,1.9154,1.0056,1.9492
167,6.19,423,349.77,1.8693,0.9276,1.9181
168,6.04,429,365.43,1.918,0.968,1.9326
169,6.2,402,351.64,1.9181,0.9444,1.9256
170,6.08,405,340.72,1.8302,0.8796,1.9193
171,6.18,440,351.66,1.8913,0.9225,1.9224
172,6.08,465,350.62,1.8168,0.894,1.9097
173,6.2,415,352.7,1.9137,0.9875,1.9313
174,6.08,408,348.77,1.8764,0.9431,1.912
175,6.21,425,349.7,1.8416,0.8928,1.9133
176,6.08,462,348.7,1.8983,0.9603,1.941
177,6.19,427,356.06,1.8365,0.9244,1.9122
178,6.04,456,357.87,1.8746,0.9338,1.9153
179,6.19,431,349.85,1.8329,0.9176,1.9049
180,6.1,437,360.72,1.8775,0.9367,1.9183
181,6.2,444,360.87,1.8381,0.9232,1.9187
182,6.08,435,343.26,1.836,0.9199,1.9171
183,6.19,420,351.81,1.8227,0.9279,1.9137
184,6.08,425,357.87,1.7792,0.8685,1.8883
185,6.19,460,349.19,1.7901,0.8368,1.8935
186,6.07,434,354.81,1.8392,0.9211,1.903
187,6.17,429,347.09,1.7513,0.8628,1.8816
188,6.08,426,348.51,1.8301,0.9227,1.9118
189,6.2,392,349.87,1.7606,0.8732,1.8905
190,6.06,432,358.57,1.8128,0.9067,1.9097
191,6.19,292,264.09,1.544,0.6655,1.82
192,6.04,285,263.79,1.5543,0.6462,1.8235
193,6.19,293,264.04,1.529,0.6325,1.812
194,6.07,290,263.28,1.5382,0.6306,1.8099
195,6.19,284,264.28,1.5209,0.6319,1.8013
196,6.08,296,264.19,1.5409,0.6346,1.8058
197,6.18,288,262.94,1.5335,0.6476,1.8116
198,6.04,295,263.74,1.4935,0.6263,1.7992
199,6.19,289,264.6,1.4935,0.6131,1.7979
200,6.08,291,264.89,1.4857,0.6081,1.8043
