Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
1,6.21,426,361.3,5.3119,8.8505,3.982
2,6.21,440,356.26,2.9854,2.8477,2.3872
3,6.2,503,352.4,3.0107,2.3669,2.4145
4,6.07,429,349.19,2.8962,2.1994,2.3356
5,6.23,414,349.47,3.0383,2.3466,2.3982
6,6.08,439,348.89,2.9042,2.1488,2.3437
7,6.21,459,365.13,2.9092,2.1414,2.3173
8,6.09,418,347.45,2.8821,2.1549,2.3229
9,6.17,412,352.15,2.9133,2.2025,2.3578
10,6.08,451,352.09,2.8635,2.0399,2.3181
11,6.2,416,352.88,2.8152,2.0372,2.3055
12,6.08,449,344.43,2.8146,2.0538,2.3119
13,6.19,406,353.77,2.7458,1.9257,2.2637
14,6.07,406,342.98,2.7838,1.9775,2.2877
15,6.17,417,337.02,2.856,1.9349,2.3119
16,6.1,436,363.47,2.7963,1.9704,2.2814
17,6.19,429,359.64,2.6844,1.854,2.2288
18,6.08,427,335.94,2.7487,1.841,2.2875
19,6.19,472,360.72,2.7198,1.853,2.2534
20,6.09,425,356.94,2.7383,1.9369,2.27
21,6.2,448,357.15,2.6887,1.8244,2.2252
22,6.11,419,340.06,2.7206,1.8989,2.2593
23,6.18,427,347.85,2.6731,1.866,2.2561
24,6.07,452,359.68,2.7093,1.827,2.2683
25,6.19,442,359.09,2.6554,1.7817,2.2127
26,6.08,394,341.55,2.6266,1.734,2.2058
27,6.22,429,350.23,2.6317,1.7917,2.2209
28,6.06,414,345.94,2.6333,1.7451,2.2299
29,6.17,452,337.4,2.6504,1.7416,2.242
30,6.11,414,351.36,2.6677,1.77,2.2386
31,6.2,452,359.79,2.6043,1.7214,2.206
32,6.11,430,347.19,2.6396,1.7128,2.2215
33,6.18,414,336.38,2.5435,1.6855,2.164
34,6.08,422,357.04,2.558,1.6729,2.198
35,6.19,407,347.91,2.5668,1.6218,2.1856
36,6.03,392,350.66,2.596,1.6578,2.1937
37,6.19,430,354.19,2.6094,1.6628,2.184
38,6.07,412,353.74,2.5923,1.6445,2.2214
39,6.18,416,351.64,2.6019,1.6969,2.2109
40,6.1,427,360.85,2.6404,1.673,2.2126
41,6.2,438,353.17,2.5435,1.5788,2.1616
42,6.08,434,349.28,2.513,1.6121,2.159
43,6.21,426,347.91,2.5156,1.6144,2.1706
44,6.07,412,345.62,2.5597,1.6359,2.1896
45,6.21,409,343.21,2.5619,1.5829,2.1834
46,6.12,429,359.28,2.5407,1.6019,2.1903
47,6.21,396,355.45,2.5397,1.6264,2.1846
48,6.06,407,352.32,2.5476,1.6037,2.168
49,6.19,444,351.91,2.4933,1.563,2.1582
50,6.07,399,355.21,2.5511,1.5462,2.1586
51,6.19,454,359.68,2.5885,1.6686,2.2056
52,6.08,441,354.36,2.539,1.6405,2.1887
53,6.19,477,358.72,2.4996,1.627,2.1499
54,6.1,441,357.36,2.5232,1.5844,2.1669
55,6.19,417,338.47,2.4868,1.5493,2.1722
56,6.08,397,350.53,2.5241,1.6009,2.1809
57,6.19,419,354.53,2.5216,1.5438,2.1682
58,6.07,455,355.17,2.4869,1.5679,2.1402
59,6.18,449,362.09,2.4829,1.5212,2.1411
60,6.07,449,356.85,2.4408,1.4802,2.1307
61,6.18,417,348.6,2.4738,1.5016,2.1519
62,6.07,457,345.45,2.4903,1.5101,2.1581
63,6.21,448,360.38,2.5552,1.5703,2.1878
64,6.07,395,339.34,2.4749,1.5594,2.1523
65,6.18,403,347.4,2.4182,1.4778,2.1421
66,6.08,410,346.89,2.4504,1.4657,2.1478
67,6.2,448,351.0,2.4356,1.4767,2.1416
68,6.11,434,355.7,2.4657,1.4492,2.1685
69,6.2,425,356.17,2.4201,1.4561,2.113
70,6.08,421,352.62,2.4097,1.4081,2.123
71,6.16,419,349.7,2.4643,1.5171,2.1631
72,6.06,404,340.23,2.4281,1.4538,2.1145
73,6.14,437,352.47,2.4163,1.4569,2.1124
74,6.09,416,352.87,2.4716,1.4039,2.1333
75,6.18,429,361.49,2.4306,1.4336,2.1254
76,6.09,445,350.23,2.4107,1.4205,2.1146
77,6.17,415,340.47,2.3669,1.3717,2.1021
78,6.1,423,348.77,2.4033,1.4171,2.1167
79,6.17,398,353.49,2.398,1.3948,2.1189
80,6.07,410,343.96,2.3689,1.3774,2.1101
81,6.22,418,346.85,2.4017,1.3795,2.1057
82,6.1,437,359.3,2.382,1.3789,2.1083
83,6.18,447,347.51,2.3337,1.3414,2.0959
84,6.07,482,363.4,2.3925,1.3985,2.1002
85,6.18,429,355.72,2.4026,1.3501,2.1115
86,6.09,465,361.23,2.3358,1.3691,2.0784
87,6.22,433,354.13,2.3654,1.3313,2.1007
88,6.08,429,350.96,2.3306,1.3209,2.0678
89,6.19,432,355.96,2.314,1.3186,2.0742
90,6.07,421,352.28,2.3575,1.3057,2.115
91,6.2,440,353.45,2.3589,1.3263,2.1034
92,6.08,389,346.77,2.3129,1.323,2.0734
93,6.23,478,348.55,2.3684,1.3231,2.1106
