Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
1,5.7,426,361.3,2.8848,4.1599,2.1039
2,5.75,440,356.26,1.4435,1.1543,1.2068
3,5.74,503,352.4,1.4126,1.0926,1.1943
4,5.8,429,349.19,1.3731,0.9902,1.1594
5,5.76,414,351.09,1.4306,1.0066,1.1778
6,5.81,439,348.89,1.3826,0.9844,1.1626
7,5.74,459,365.13,1.359,0.9756,1.1477
8,5.8,418,347.45,1.3555,0.9699,1.1489
9,5.69,412,352.15,1.3512,0.9523,1.1594
10,5.81,451,352.09,1.3713,0.9269,1.1546
11,5.74,416,353.96,1.3217,0.9141,1.1377
12,5.82,449,344.43,1.3462,0.9305,1.1507
13,5.73,406,353.77,1.3306,0.896,1.1325
14,5.74,406,343.07,1.3067,0.8981,1.1308
15,5.69,417,337.02,1.3422,0.8825,1.1418
16,5.82,436,363.47,1.2989,0.864,1.1186
17,5.74,429,359.64,1.2643,0.8261,1.1001
18,5.82,427,335.94,1.3061,0.844,1.1355
19,5.67,472,360.72,1.3059,0.8491,1.1268
20,5.82,425,356.94,1.3102,0.8753,1.1323
21,5.73,448,357.15,1.2818,0.8429,1.106
22,5.83,419,340.06,1.3002,0.8672,1.1247
23,5.67,427,347.85,1.2773,0.8425,1.1246
24,5.81,452,359.68,1.2743,0.8273,1.1219
25,5.73,442,359.09,1.2507,0.8178,1.0965
26,5.82,394,341.55,1.2479,0.7975,1.0967
27,5.75,429,350.23,1.25,0.8332,1.104
28,5.77,414,345.94,1.2437,0.8126,1.107
29,5.7,452,337.4,1.2556,0.7975,1.1153
30,5.84,414,351.36,1.2458,0.7952,1.1075
31,5.75,452,359.79,1.248,0.7887,1.1026
32,5.83,430,347.19,1.2546,0.7968,1.1086
33,5.69,414,336.38,1.2234,0.7807,1.0815
34,5.83,422,357.04,1.2228,0.7682,1.0945
35,5.74,407,347.91,1.2333,0.7608,1.0921
36,5.74,392,350.66,1.2223,0.7543,1.0863
37,5.72,430,354.19,1.2304,0.7654,1.0841
38,5.79,412,353.74,1.2253,0.7703,1.104
39,5.66,416,351.64,1.2519,0.7982,1.1053
40,5.82,427,360.85,1.2724,0.7977,1.109
41,5.73,438,353.17,1.2274,0.7358,1.0818
42,5.81,434,349.28,1.1946,0.7448,1.0752
43,5.75,426,347.91,1.1945,0.7492,1.0802
44,5.79,412,345.62,1.2057,0.7555,1.0841
45,5.74,409,343.21,1.2195,0.7378,1.0894
46,5.84,429,359.28,1.213,0.7554,1.0898
47,5.74,396,355.45,1.2099,0.7528,1.0869
48,5.74,407,352.32,1.202,0.7388,1.077
49,5.74,444,351.91,1.1699,0.7163,1.0711
50,5.81,399,355.21,1.2179,0.7165,1.079
51,5.74,454,359.68,1.2123,0.7583,1.0912
52,5.82,441,354.36,1.1995,0.7442,1.085
53,5.74,477,358.72,1.1917,0.7454,1.0727
54,5.83,441,357.36,1.2049,0.7426,1.0802
55,5.75,417,338.47,1.1811,0.7164,1.0797
56,5.82,397,350.53,1.2,0.7322,1.0835
57,5.74,419,354.53,1.1997,0.718,1.0787
58,5.81,455,355.17,1.1745,0.7263,1.0653
59,5.67,449,362.09,1.177,0.7,1.0681
60,5.73,449,356.85,1.1478,0.6897,1.0595
